017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
11|710|2|68|69|185|1353|184|1|3|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|556.0000|77.0000|36.0000|57.9167|344.2325|178.6108|70.2738|29.5493|1284.4318|40.4399|132.6242|57.6229|97.7152|40.4399|629.7045|318.5009|111.6259|29.3353|62064.0000|16.9597|51.2611|1.9771|131.5965|30.8910|0.0000|0.0642|0.2436|0.0000|1880.0000|556.0000|1284.4318|-50.0000|45.0000|116.0737|111.7032|109.8417|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:51.483|Dag_20230314_1m_4x-01_ast_images_000001.tif|4ACFFD96-42F6-4606-87CA-71DEDEC2CF57
12|780|2|60|60|454|44|99|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|536.0000|63.0000|27.0000|48.2500|253.4214|148.2455|59.2533|25.3457|1228.9280|39.5565|107.0140|41.1593|80.0319|39.6011|463.5838|262.9536|112.7425|29.6192|60430.0000|9.5171|27.8628|1.7630|127.8774|16.7190|0.0000|0.1619|0.3292|0.0000|1169.5000|537.0000|1231.6982|-45.0000|45.0000|116.9776|113.1922|110.2407|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:37.307|Dag_20230314_1m_4x-01_ast_images_000001.tif|0FDB07FD-DEAB-48F3-9BF7-77853B26A498
13|842|2|39|72|975|794|134|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|421.0000|62.0000|26.0000|44.6389|185.0955|136.8192|55.9839|24.1973|914.3857|34.1208|105.1847|39.3299|73.4261|34.1208|338.5952|242.0515|138.3919|10.5803|58263.0000|6.4759|18.2899|1.3989|39.2704|22.5620|0.0000|0.1305|0.2882|0.0000|971.0000|421.0000|914.3857|-90.0000|15.0000|144.1116|140.2708|132.5819|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:43.144|Dag_20230314_1m_4x-01_ast_images_000001.tif|1D50278E-45CD-4218-B03A-30E58BA0ED5B
14|883|2|87|88|499|1359|200|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1015.0000|82.0000|76.0000|79.1389|613.8133|245.5561|68.4204|65.4849|2599.4192|57.5298|141.7707|130.7950|136.5369|57.7239|1122.8487|440.9639|108.8581|26.2133|110491.0000|29.3655|90.2433|2.5464|182.4639|33.5620|0.0000|0.2464|0.2899|0.0000|4536.0000|1021.0000|2616.9877|-65.0000|5.0000|115.9360|108.2719|107.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:54.152|Dag_20230314_1m_4x-01_ast_images_000001.tif|46C866EE-E63A-4A45-9371-B7AA844EE4BF
15|972|2|53|88|890|131|234|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|700.0000|78.0000|40.0000|58.6389|330.0488|180.4239|72.0133|31.2143|1689.4929|46.3803|134.4536|64.9402|99.0363|46.4193|603.7583|321.8176|121.4429|26.6424|85010.0000|12.3660|36.8217|1.8761|114.9291|39.2340|0.0000|0.2565|0.2898|0.0000|1906.0000|701.0000|1692.3350|85.0000|-25.0000|128.1114|122.5500|116.7114|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:59.821|Dag_20230314_1m_4x-01_ast_images_000001.tif|0F7339E4-02E1-40F9-AB3B-0256D0091962
16|1027|2|42|88|547|406|212|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|598.0000|78.0000|31.0000|58.1667|281.6224|179.4521|73.6173|32.1919|1401.6402|42.2448|134.4536|48.4764|98.1725|42.6232|515.1719|320.0399|118.1355|20.7209|70645.0000|10.3977|30.6326|1.6097|108.8862|35.5620|0.0000|0.1409|0.2394|0.0000|1607.0000|607.0000|1426.8640|-90.0000|5.0000|124.7375|119.5518|112.8645|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:56.153|Dag_20230314_1m_4x-01_ast_images_000001.tif|30B0699F-4F6B-4751-8574-60927845697A
17|1071|2|89|89|364|1262|25|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|990.0000|81.0000|72.0000|77.7222|613.1270|240.4567|67.8621|64.4813|2526.2982|56.7149|139.9415|123.4778|133.9454|56.9114|1121.5932|431.6356|108.2657|25.2568|107183.0000|30.0353|92.3478|2.5985|175.5038|4.3750|0.0000|0.3457|0.2894|0.0000|4329.5000|996.0000|2543.8352|-60.0000|55.0000|114.4283|108.1677|106.1384|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:24.965|Dag_20230314_1m_4x-01_ast_images_000001.tif|58D6E4C0-746D-467D-92EE-221D6F149EAC
18|1162|2|53|95|301|1383|164|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|906.0000|86.0000|39.0000|64.3056|324.6346|198.9139|80.7494|35.3444|2281.6231|53.8985|149.0880|63.1108|109.4024|53.9671|593.8541|355.6413|126.4901|19.6294|114600.0000|9.2362|26.9794|1.6698|65.6715|27.5620|0.0000|0.1397|0.2976|0.0000|2197.5000|908.0000|2287.4296|-80.0000|5.0000|131.1380|128.0806|121.6457|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:48.146|Dag_20230314_1m_4x-01_ast_images_000001.tif|98CB028E-FC5E-4AF8-BD6F-D6B854638982
19|1217|2|90|91|725|1165|134|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|934.0000|84.0000|73.0000|79.9444|567.2864|248.2554|69.6108|66.0827|2363.0008|54.8513|145.4293|125.3070|138.0104|54.9525|1037.7370|445.9018|111.1756|23.2627|103838.0000|27.3310|83.8509|2.3273|168.8323|22.5620|0.0000|0.1545|0.2590|0.0000|4554.0000|937.0000|2371.7309|65.0000|-35.0000|119.1959|111.9186|106.7623|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:43.144|Dag_20230314_1m_4x-01_ast_images_000001.tif|23B8E125-801F-416E-916C-8DA79225AA47
20|1309|2|37|79|963|1471|112|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|366.0000|71.0000|24.0000|50.5278|245.3381|155.1807|65.1929|23.6189|767.3611|31.2576|121.6484|35.6713|84.1987|31.2576|448.7970|275.6402|122.3060|20.1109|44764.0000|13.0870|39.0883|1.6282|120.4404|18.8910|0.0000|0.0567|0.1938|0.0000|1119.5000|366.0000|767.3611|-75.0000|10.0000|128.3770|123.7842|117.0874|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:39.475|Dag_20230314_1m_4x-01_ast_images_000001.tif|AFE3FD8F-8A6B-4894-BD79-600929CE48C4
