017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
11|380|2|74|56|619|529|73|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|352.0000|77.0000|9.0000|50.8889|169.6224|156.9683|83.0054|6.1711|730.3735|30.4949|132.6242|8.2318|84.8592|30.4949|310.2903|278.9103|98.3267|31.7757|34611.0000|6.5045|18.3801|1.1125|194.0821|12.3910|0.0000|0.4745|0.1294|0.0000|466.0000|352.0000|730.3735|30.0000|-55.0000|104.1051|98.6222|95.5170|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:32.972|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|DE58E0D6-65EB-4F5A-B584-703C453B0154
12|456|2|27|27|291|851|42|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|221.0000|18.0000|16.0000|17.3333|52.2843|51.1722|17.0392|16.5201|395.9787|22.4539|24.6955|21.0369|23.4760|22.4539|95.6437|85.3775|79.7738|36.2411|17630.0000|1.0000|1.0000|1.1202|165.7955|7.2190|0.9479|0.8902|0.9992|0.0000|202.0000|221.0000|395.9787|5.0000|50.0000|84.4480|80.9774|75.6380|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:27.802|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|B82E4937-3A8B-4776-8C0F-23E64C68FEAC
13|485|2|16|70|732|1141|171|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|224.0000|60.0000|6.0000|40.0000|133.8406|122.4057|65.2202|5.0067|403.3336|22.6614|101.5262|5.4879|64.9402|22.6614|244.8346|215.6849|102.4330|27.3774|22945.0000|6.3638|17.9368|1.1351|181.0579|28.7340|0.0000|0.3515|0.1333|0.0000|240.5000|224.0000|403.3336|-90.0000|0.0000|111.5357|101.7813|100.1741|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:49.314|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|28676693-1184-4585-BC04-D8DF61BD433A
14|503|2|15|73|289|494|27|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|280.0000|63.0000|5.0000|41.5278|135.1127|127.5914|68.6248|5.2715|543.5779|26.3079|107.0140|4.5732|67.7350|26.3079|247.1617|225.1711|106.4750|24.4872|29813.0000|5.1883|14.2292|1.0977|125.8571|4.7190|0.0000|0.7575|0.1505|0.0000|233.0000|280.0000|543.5779|-90.0000|0.0000|110.3107|106.8929|104.2607|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:25.299|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|5DACEBDA-40C7-4233-9821-B7BB94BC8E62
15|520|2|17|101|437|89|132|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|410.0000|91.0000|7.0000|58.6111|209.2965|181.4096|84.2459|6.5039|884.7778|33.5639|158.2344|6.4025|98.9854|33.6657|382.8661|323.6207|124.7854|22.8159|51162.0000|8.4609|24.5400|1.1831|58.3122|22.2190|0.0000|0.7102|0.1469|0.0000|411.0000|412.0000|890.1539|-90.0000|0.0000|130.9366|125.5512|120.9707|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:42.811|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|7D8D3E80-C8EB-4DA5-86F0-A6620E1AAC76
16|539|2|18|108|926|641|192|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|492.0000|97.0000|8.0000|62.8889|202.5685|194.1750|88.9076|7.2012|1107.5950|37.5531|169.2103|7.3172|106.8108|37.5531|370.5586|346.9725|135.4065|12.3897|66620.0000|6.6370|18.7974|1.0680|31.8172|32.2340|0.0000|0.7285|0.1575|0.0000|496.0000|492.0000|1107.5950|-90.0000|0.0000|141.2500|137.8841|128.3333|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:52.817|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|7E096E6C-38C0-4F98-80FD-AFE9BA072A88
17|559|2|23|66|699|1715|188|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|252.0000|57.0000|7.0000|37.5000|121.3553|114.3280|58.3988|5.5922|472.7994|24.5354|96.0382|6.4025|60.3669|24.5354|221.9953|200.9084|136.8254|10.2094|34480.0000|4.6506|12.5304|1.1050|53.0090|31.5620|0.0000|0.6947|0.1865|0.0000|242.5000|252.0000|472.7994|70.0000|-10.0000|143.7222|139.2579|129.5556|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:52.149|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|D4D607C7-0AAF-442B-BFC1-1F7DBA5B3D65
18|584|2|16|60|652|138|77|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|247.0000|50.0000|6.0000|33.5278|108.0416|102.4237|53.5828|5.9690|460.2921|24.2087|83.2331|5.4879|53.1006|24.2087|197.6405|179.1318|117.6437|22.2072|29058.0000|3.7608|9.7118|1.1033|109.4752|13.0470|0.0000|0.7261|0.2164|0.0000|216.0000|247.0000|460.2921|-90.0000|0.0000|126.9919|117.9798|113.4291|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:33.637|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|E5365ACF-F513-42DB-B6CE-476F74C3A3D9
19|602|2|26|27|353|240|46|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|207.0000|18.0000|16.0000|16.7778|51.4558|49.5268|16.6834|15.8030|361.9033|21.4660|24.6955|21.0369|22.4598|21.4660|94.1281|82.3675|118.7778|18.6754|24587.0000|1.0179|1.0000|1.1428|70.1136|7.8750|0.9412|0.8827|0.9982|0.0000|190.0000|207.0000|361.9033|-80.0000|0.0000|125.5459|121.1401|111.6763|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:28.469|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|18AFDECD-6702-4FE6-93A1-E7174FE3410E
20|630|2|21|61|527|1106|23|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|222.0000|51.0000|9.0000|34.4722|118.0833|105.3037|55.6921|6.3764|398.4283|22.5232|85.0624|8.2318|54.8281|22.5232|216.0098|184.4002|112.2613|25.2161|24922.0000|4.9982|13.6290|1.1714|142.4615|4.0470|0.0000|0.3885|0.1799|0.0000|270.5000|222.0000|398.4283|-90.0000|-5.0000|117.6757|111.8829|110.8604|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:24.631|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|6951DFEC-93AF-4478-B361-F9F4F6CA6383
