Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
11,510.5666,510.5666,0.6354,95.8464,101.9925,104.0412,1.8293,1,1,844,976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5731,0.7217,0.7937,1.3856,107.8482,0.9834,2023-03-14,25.4965,30.4375,25.4965,104.6140,2.8750,1.7963,-85.0000,0.0000,0.0683,0.9361,0.0000,0.5567,40.0621,22.3022,Dag_20230314_1m_4x-01_000001.tif,34,27,564,0,100.3858,37.5007,98C28523-0845-4045-933F-4A2A92C1D95A,1,124.7286,0.9397,1.0855,1.0201,1.1565,0.0000,0.0000,0.0000,32.7984,16,0.0000,0,0.0000,0.0000,26803.0000,0.4221,15:06:23,2023-03-14T15:06:23.465,0.1623,8.678455e+03,1.476476e+04,22.8663
12,349.8378,349.8378,0.8504,124.9554,133.6782,137.3812,1.8293,1,1,915,202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8840,0.8998,0.9827,1.1113,82.7207,1.0000,2023-03-14,21.1051,22.4597,21.1051,36.4773,2.8750,1.0000,-80.0000,0.0000,0.0000,1.0920,0.0000,1.0000,24.2898,24.2898,Dag_20230314_1m_4x-01_000001.tif,28,25,593,0,131.5000,26.5249,A3C3F873-E29F-41BF-96FD-6EDA46848A88,1,97.1591,0.9347,1.0994,1.0277,1.1745,0.0000,0.0000,0.0000,14.9730,16,0.0000,0,0.0000,0.0000,26563.0000,0.8710,15:06:23,2023-03-14T15:06:23.465,0.0603,4.922252e+03,5.932158e+03,19.2077
13,3533.4503,3548.3547,0.8415,121.4147,131.0225,135.3922,1.8293,1,1,691,600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0887,0.0558,0.3895,17.9172,425.5623,0.3261,2023-03-14,67.0741,131.5572,67.2154,52.1890,3.0470,54.2701,0.0000,25.0000,2.5198,0.2841,0.0000,0.0184,492.5708,9.0763,Dag_20230314_1m_4x-01_000001.tif,83,93,620,0,128.6221,139.9415,F70FA3B1-3F05-4730-B9C3-E9F88A49CA78,3,1003.2941,0.9267,1.1151,1.0334,2.3576,0.0000,0.0000,0.0000,17.0192,17,0.0000,0,0.0000,0.0000,171196.0000,0.2298,15:06:23,2023-03-14T15:06:23.632,0.4902,1.580019e+05,1.192181e+06,123.4778
14,316.3706,316.3706,0.1389,116.4947,121.5266,126.1064,1.8293,1,1,620,157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1309,0.3277,0.2585,3.0519,137.4101,1.0000,2023-03-14,20.0703,39.8889,20.0703,117.2000,3.0470,7.4536,-55.0000,30.0000,0.1174,0.8949,0.0000,0.1342,68.4773,9.1872,Dag_20230314_1m_4x-01_000001.tif,44,31,715,0,120.5160,61.2815,070FB802-FBD4-45A8-B958-D4BD63D13509,1,155.3289,0.9586,1.0825,1.0377,1.1304,0.0000,0.0000,0.0000,19.6045,17,0.0000,0,0.0000,0.0000,22657.0000,0.8264,15:06:23,2023-03-14T15:06:23.632,0.4968,4.233095e+03,3.323188e+04,6.4025
15,874.0352,874.0352,0.3072,136.6084,142.8818,146.3719,1.8293,1,1,905,55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1955,0.3125,0.4360,3.2004,178.3096,0.8000,2023-03-14,33.3595,53.0497,33.3595,35.8952,3.0470,7.9282,15.0000,-60.0000,0.4736,0.6786,0.0000,0.1261,103.7849,13.0907,Dag_20230314_1m_4x-01_000001.tif,39,51,748,0,141.4039,70.4280,7E820A8C-86A1-4C36-A34C-0C6F224E99BB,1,233.7511,0.9561,1.0715,1.0244,1.3109,0.0000,0.0000,0.0000,11.7948,17,0.0000,0,0.0000,0.0000,57410.0000,0.2564,15:06:23,2023-03-14T15:06:23.632,0.3712,1.943825e+04,7.817132e+04,19.2077
16,1746.4027,1760.6519,0.7606,118.7931,123.6819,127.4389,1.8293,1,1,386,1698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1036,0.2666,9.6555,359.8335,0.2899,2023-03-14,47.1549,110.5202,47.3469,100.2227,3.2190,28.2982,70.0000,-60.0000,1.1220,0.4713,0.0000,0.0353,262.0195,9.2592,Dag_20230314_1m_4x-01_000001.tif,77,79,801,0,122.6375,123.4778,E0D31FC6-B06B-4137-B747-E03F92B6F09C,1,542.5574,0.9605,1.0728,1.0304,1.5078,0.0000,0.0000,0.0000,20.0275,18,0.0000,0,0.0000,0.0000,88299.0000,0.1850,15:06:23,2023-03-14T15:06:23.797,0.5733,5.490102e+04,7.068442e+05,77.7452
17,1020.0887,1020.0887,0.6316,105.3870,105.2457,108.2543,1.8293,1,1,825,232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.0785,0.2508,12.7350,275.8551,0.3066,2023-03-14,36.0391,83.8937,36.0391,191.5066,3.5470,37.9818,-20.0000,75.0000,1.2215,0.4501,0.0000,0.0263,241.7975,6.3661,Dag_20230314_1m_4x-01_000001.tif,53,67,882,0,105.6239,108.8434,702B1076-EC7F-44AC-8388-C6595A500F1A,1,496.3272,1.0013,1.0272,1.0286,1.7992,0.0000,0.0000,0.0000,26.8926,20,0.0000,0,0.0000,0.0000,48587.0000,0.2279,15:06:24,2023-03-14T15:06:24.131,0.5704,2.450872e+04,3.091627e+05,57.6229
18,352.2463,359.4857,0.4427,132.6601,141.0197,144.0788,1.8293,1,1,586,1891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5298,0.5568,0.7035,1.7959,98.3759,1.0000,2023-03-14,21.1777,27.6936,21.3942,35.7018,3.7190,3.3429,60.0000,-30.0000,0.2205,0.8193,0.0000,0.2991,48.0042,14.3601,Dag_20230314_1m_4x-01_000001.tif,29,26,951,0,138.8030,39.3299,44B083B7-C987-47CA-B8D6-9F5EA990BD64,1,124.7286,0.9407,1.0861,1.0217,1.2679,0.0000,0.0000,0.0000,7.7058,21,0.0000,0,0.0000,0.0000,28177.0000,0.6407,15:06:24,2023-03-14T15:06:24.297,0.2353,4.973172e+03,1.112078e+04,13.7197
19,1201.2561,1206.7861,0.5244,117.6141,117.4791,121.8232,1.8293,1,1,232,1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0795,0.2103,12.5823,330.3306,0.2746,2023-03-14,39.1087,101.3737,39.1986,131.3280,3.7190,37.5018,-85.0000,5.0000,1.0847,0.4797,0.0000,0.0267,257.4114,6.8640,Dag_20230314_1m_4x-01_000001.tif,81,54,979,0,117.9981,123.4778,4BA2E778-A652-4D36-9E00-084B989A4D52,1,528.5508,1.0011,1.0358,1.0370,1.6001,0.0000,0.0000,0.0000,20.4626,21,0.0000,0,0.0000,0.0000,62067.0000,0.1108,15:06:24,2023-03-14T15:06:24.297,0.6142,3.131967e+04,5.454747e+05,68.5987
20,2301.9499,2368.8206,0.8925,108.3187,108.1501,114.2574,1.8293,1,1,227,1170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,0.0485,0.3085,20.6099,402.6836,0.2583,2023-03-14,54.1381,124.1891,54.9188,168.7039,3.7190,62.7319,-70.0000,-25.0000,2.3890,0.2951,0.0000,0.0159,443.2686,7.0661,Dag_20230314_1m_4x-01_000001.tif,83,82,1035,0,108.9091,130.7950,1B0E656C-CD2A-4D5A-95B6-B501EB83BE0A,1,900.6694,1.0016,1.0548,1.0565,2.2367,0.0000,0.0000,0.0000,26.3842,21,0.0000,0,0.0000,0.0000,99434.0000,0.1676,15:06:24,2023-03-14T15:06:24.297,0.5641,8.308213e+04,1.002881e+06,105.1847
21,1110.3400,1118.5786,0.6240,118.0507,126.7606,132.0730,1.8293,1,1,733,565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0856,0.2616,11.6792,292.1965,0.3137,2023-03-14,37.5996,89.2800,37.7388,78.8700,3.8750,34.6624,-75.0000,10.0000,1.0979,0.4767,0.0000,0.0288,239.8583,6.9199,Dag_20230314_1m_4x-01_000001.tif,75,54,1119,0,124.7647,114.3312,DD743301-0532-4D6C-B5DB-CBB09F9CBAE2,4,493.5564,0.9313,1.1188,1.0419,1.6891,0.0000,0.0000,0.0000,19.5992,22,0.0000,0,0.0000,0.0000,61509.0000,0.1515,15:06:24,2023-03-14T15:06:24.465,0.5789,2.783221e+04,3.726158e+05,59.4522
22,3447.0729,3464.9344,0.8562,127.9662,136.3909,139.5376,1.8293,1,1,903,1754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0657,0.3494,15.2203,446.7007,0.2919,2023-03-14,66.2491,138.2646,66.4206,42.3016,4.0470,45.7942,65.0000,30.0000,2.0403,0.3289,0.0000,0.0218,447.7073,9.7765,Dag_20230314_1m_4x-01_000001.tif,90,92,0,87,134.2273,147.2586,814A9B6F-AF11-4BE1-918A-DCAB51EAC1DC,2,914.9677,0.9382,1.0904,1.0231,2.0483,0.0000,0.0000,0.0000,14.9168,23,0.0000,0,0.0000,0.0000,174764.0000,0.2247,15:06:24,2023-03-14T15:06:24.631,0.5209,1.522438e+05,1.383986e+06,123.4778
23,357.0703,378.8887,0.9185,121.7024,126.7707,129.5073,1.8293,1,1,878,1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9320,1.0000,0.9969,1.0000,83.6711,1.0000,2023-03-14,21.3222,22.8154,21.9640,69.1591,4.0470,1.0000,-80.0000,0.0000,0.0000,1.0494,0.0000,1.0000,23.5320,23.5320,Dag_20230314_1m_4x-01_000001.tif,27,26,94,87,125.5707,24.6955,41706323-8C8B-4F0B-A910-E9A60D2112E1,1,94.1282,0.9600,1.0641,1.0216,1.1250,0.0000,0.0000,0.0000,14.9960,23,0.0000,0,0.0000,0.0000,25742.0000,0.9020,15:06:24,2023-03-14T15:06:24.631,0.0654,5.075681e+03,6.218490e+03,21.0369
24,398.4283,398.4283,0.1145,110.8604,111.8829,117.6757,1.8293,1,1,527,1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2001,0.1799,4.9982,184.4002,0.8207,2023-03-14,22.5232,54.8282,22.5232,142.4615,4.0470,13.6289,-90.0000,-5.0000,0.1829,0.8454,0.0000,0.0734,100.6219,7.3830,Dag_20230314_1m_4x-01_000001.tif,61,21,122,87,112.2613,85.0624,6951DFEC-93AF-4478-B361-F9F4F6CA6383,1,216.0097,0.9909,1.0615,1.0518,1.1714,0.0000,0.0000,0.0000,25.2161,23,0.0000,0,0.0000,0.0000,24922.0000,0.3885,15:06:24,2023-03-14T15:06:24.631,0.5892,5.982588e+03,8.629989e+04,8.2318
25,337.8304,337.8304,0.4850,98.1371,105.2741,110.9340,1.8293,1,1,408,376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5621,0.5753,0.7291,1.7382,96.4873,0.9471,2023-03-14,20.7398,26.9314,20.7398,143.8704,4.0470,3.1426,0.0000,-85.0000,0.2760,0.7837,0.0000,0.3182,45.5156,14.4836,Dag_20230314_1m_4x-01_000001.tif,24,34,145,87,103.8274,35.6713,F16FE41F-2AE5-42E2-998B-FA32A3126EA9,1,119.9984,0.9322,1.1304,1.0538,1.2437,0.0000,0.0000,0.0000,22.3177,23,0.0000,0,0.0000,0.0000,20454.0000,0.5907,15:06:24,2023-03-14T15:06:24.631,0.2299,4.671021e+03,1.022760e+04,15.5490
26,359.4857,437.8882,0.7391,125.0194,131.9466,133.4515,1.8293,1,1,840,1488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8187,0.9247,0.9548,1.0814,91.5756,1.0000,2023-03-14,21.3942,25.0512,23.6122,49.9592,4.2190,1.0000,-90.0000,0.0000,0.0000,1.1605,0.0000,1.0000,26.0081,26.0081,Dag_20230314_1m_4x-01_000001.tif,31,25,181,87,130.0728,30.1835,08C4D0FA-F869-4B27-B2FC-5C13E5180D1A,1,104.0324,0.9475,1.0674,1.0114,1.1360,0.0000,0.0000,0.0000,12.7371,24,0.0000,0,0.0000,0.0000,26795.0000,0.8572,15:06:24,2023-03-14T15:06:24.800,0.1460,5.127270e+03,8.231646e+03,19.2077
27,2154.1352,2154.1352,0.5432,130.7494,139.1740,143.2471,1.8293,1,1,871,1482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0735,0.3056,13.6019,366.6747,0.3372,2023-03-14,52.3711,113.0101,52.3711,31.0273,4.2190,40.7072,-85.0000,-10.0000,1.5144,0.3977,0.0000,0.0246,342.6685,8.4179,Dag_20230314_1m_4x-01_000001.tif,90,60,208,87,137.0998,136.2828,D6E4BC4C-E6CC-44FE-98B9-A3205A194680,5,702.1727,0.9395,1.0956,1.0293,1.9150,0.0000,0.0000,0.0000,14.7609,24,0.0000,0,0.0000,0.0000,118180.0000,0.1799,15:06:24,2023-03-14T15:06:24.800,0.5366,7.520959e+04,7.557015e+05,77.7452
28,618.0630,633.6078,0.6718,112.3204,117.3981,121.6796,1.8293,1,1,294,1454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4154,0.3547,0.6923,2.8192,152.3843,0.6688,2023-03-14,28.0525,44.9703,28.4031,81.5402,4.3750,6.7078,5.0000,-90.0000,0.4593,0.6853,0.0000,0.1491,84.0876,12.5357,Dag_20230314_1m_4x-01_000001.tif,32,45,270,87,116.3366,57.6229,9C3D867D-230B-4B9E-8CD9-BA2A44443E68,2,193.2465,0.9567,1.0833,1.0365,1.2682,0.0000,0.0000,0.0000,23.3354,25,0.0000,0,0.0000,0.0000,35948.0000,0.3773,15:06:24,2023-03-14T15:06:24.965,0.3762,1.155880e+04,4.761850e+04,32.0127
29,2526.2982,2543.8352,0.9502,106.1384,108.1677,114.4283,1.8293,1,1,364,1262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,0.2894,30.0353,431.6356,0.2300,2023-03-14,56.7149,133.9454,56.9114,175.5038,4.3750,92.3478,-60.0000,55.0000,2.9644,0.2522,0.0000,0.0108,554.7890,6.0076,Dag_20230314_1m_4x-01_000001.tif,89,89,317,87,108.2657,139.9415,58D6E4C0-746D-467D-92EE-221D6F149EAC,1,1121.5932,0.9812,1.0781,1.0579,2.5985,0.0000,0.0000,0.0000,25.2568,25,0.0000,0,0.0000,0.0000,107183.0000,0.3457,15:06:24,2023-03-14T15:06:24.965,0.5766,9.551921e+04,1.258294e+06,123.4778
30,3524.5093,3524.5093,0.9435,124.2252,133.4375,137.7455,1.8293,1,1,809,378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0445,0.0822,0.4053,12.1623,416.3225,0.3363,2023-03-14,66.9891,128.9656,66.9891,39.3290,4.3750,36.1812,65.0000,35.0000,1.9033,0.3444,0.0000,0.0276,400.9826,11.0826,Dag_20230314_1m_4x-01_000001.tif,86,87,408,87,131.1792,138.1121,090A9FF1-6877-4385-A285-8A8B3C18DA35,2,824.1304,0.9310,1.1088,1.0323,1.9795,0.0000,0.0000,0.0000,15.4284,25,0.0000,0,0.0000,0.0000,174206.0000,0.2410,15:06:24,2023-03-14T15:06:24.965,0.4806,1.574026e+05,1.123106e+06,116.1606
