017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
11|564|0|27|34|844|976|16|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|267.0000|25.0000|17.0000|21.1389|68.1838|63.4560|24.7031|15.6975|510.5666|25.4965|37.5007|22.8663|30.4375|25.4965|124.7286|107.8482|100.3858|32.7984|26803.0000|1.3856|1.7963|1.1565|104.6140|2.8750|0.5731|0.4221|0.7937|0.0000|271.5000|267.0000|510.5666|-85.0000|0.0000|104.0412|101.9925|95.8464|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.465|Dag_20230314_1m_4x-01_000001.tif|98C28523-0845-4045-933F-4A2A92C1D95A
12|593|0|25|28|915|202|16|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|202.0000|19.0000|15.0000|16.7778|53.1127|49.7198|17.4291|14.8221|349.8378|21.1051|26.5249|19.2077|22.4597|21.1051|97.1591|82.7207|131.5000|14.9730|26563.0000|1.1113|1.0000|1.1745|36.4773|2.8750|0.8840|0.8710|0.9827|0.0000|189.5000|202.0000|349.8378|-80.0000|0.0000|137.3812|133.6782|124.9554|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.465|Dag_20230314_1m_4x-01_000001.tif|A3C3F873-E29F-41BF-96FD-6EDA46848A88
13|620|0|93|83|691|600|17|1|3|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1331.0000|81.0000|72.0000|76.4167|548.4579|237.1367|71.5077|60.1735|3533.4503|67.0741|139.9415|123.4778|131.5572|67.2154|1003.2941|425.5623|128.6221|17.0192|171196.0000|17.9172|54.2701|2.3576|52.1890|3.0470|0.0887|0.2298|0.3895|0.0000|4097.0000|1336.0000|3548.3547|0.0000|25.0000|135.3922|131.0225|121.4147|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.632|Dag_20230314_1m_4x-01_000001.tif|F70FA3B1-3F05-4730-B9C3-E9F88A49CA78
14|715|0|31|44|620|157|17|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|188.0000|38.0000|7.0000|26.3056|84.9117|79.6162|42.6252|5.9206|316.3706|20.0703|61.2815|6.4025|39.8889|20.0703|155.3289|137.4101|120.5160|19.6045|22657.0000|3.0519|7.4536|1.1304|117.2000|3.0470|0.1309|0.8264|0.2585|0.0000|187.0000|188.0000|316.3706|-55.0000|30.0000|126.1064|121.5266|116.4947|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.632|Dag_20230314_1m_4x-01_000001.tif|070FB802-FBD4-45A8-B958-D4BD63D13509
15|748|0|51|39|905|55|17|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|406.0000|43.0000|15.0000|33.5000|127.7817|101.9742|46.5488|14.3020|874.0352|33.3595|70.4280|19.2077|53.0497|33.3595|233.7511|178.3096|141.4039|11.7948|57410.0000|3.2004|7.9282|1.3109|35.8952|3.0470|0.1955|0.2564|0.4360|0.0000|507.5000|406.0000|874.0352|15.0000|-60.0000|146.3719|142.8818|136.6084|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.632|Dag_20230314_1m_4x-01_000001.tif|7E820A8C-86A1-4C36-A34C-0C6F224E99BB
16|801|0|79|77|386|1698|18|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|720.0000|72.0000|47.0000|64.9167|296.5929|201.2056|66.2355|50.3776|1746.4027|47.1549|123.4778|77.7452|110.5202|47.3469|542.5574|359.8335|122.6375|20.0275|88299.0000|9.6555|28.2982|1.5078|100.2227|3.2190|0.0000|0.1850|0.2666|0.0000|2500.5000|725.0000|1760.6519|70.0000|-60.0000|127.4389|123.6819|118.7931|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.797|Dag_20230314_1m_4x-01_000001.tif|E0D31FC6-B06B-4137-B747-E03F92B6F09C
17|882|0|67|53|825|232|20|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|460.0000|64.0000|36.0000|50.3611|271.3208|155.2982|57.7814|36.4920|1020.0887|36.0391|108.8434|57.6229|83.8937|36.0391|496.3272|275.8551|105.6239|26.8926|48587.0000|12.7350|37.9818|1.7992|191.5066|3.5470|0.0411|0.2279|0.2508|0.0000|1500.5000|460.0000|1020.0887|-20.0000|75.0000|108.2543|105.2457|105.3870|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.131|Dag_20230314_1m_4x-01_000001.tif|702B1076-EC7F-44AC-8388-C6595A500F1A
18|951|0|26|29|586|1891|21|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|203.0000|26.0000|12.0000|19.6389|68.1838|58.2779|24.9696|11.0552|352.2463|21.1777|39.3299|13.7197|27.6936|21.3942|124.7286|98.3759|138.8030|7.7058|28177.0000|1.7959|3.3429|1.2679|35.7018|3.7190|0.5298|0.6407|0.7035|0.0000|204.5000|206.0000|359.4857|60.0000|-30.0000|144.0788|141.0197|132.6601|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.297|Dag_20230314_1m_4x-01_000001.tif|44B083B7-C987-47CA-B8D6-9F5EA990BD64
19|979|0|54|81|232|1604|21|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|526.0000|72.0000|42.0000|59.9167|288.9361|185.0776|70.8068|37.1287|1201.2561|39.1087|123.4778|68.5987|101.3737|39.1986|528.5508|330.3306|117.9981|20.4626|62067.0000|12.5823|37.5018|1.6001|131.3280|3.7190|0.0000|0.1108|0.2103|0.0000|1923.0000|528.0000|1206.7861|-85.0000|5.0000|121.8232|117.4791|117.6141|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.297|Dag_20230314_1m_4x-01_000001.tif|4BA2E778-A652-4D36-9E00-084B989A4D52
20|1035|0|82|83|227|1170|21|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|913.0000|76.0000|62.0000|72.3889|492.3574|224.6299|65.5815|58.5287|2301.9499|54.1381|130.7950|105.1847|124.1891|54.9188|900.6694|402.6836|108.9091|26.3842|99434.0000|20.6099|62.7319|2.2367|168.7039|3.7190|0.0078|0.1676|0.3085|0.0000|3623.5000|936.0000|2368.8206|-70.0000|-25.0000|114.2574|108.1501|108.3187|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.297|Dag_20230314_1m_4x-01_000001.tif|1B0E656C-CD2A-4D5A-95B6-B501EB83BE0A
