Name,Date,Time,CollageFile,ImageFilename,Id,GroupId,Uuid,SrcImage,SrcX,SrcY,ImageX,ImageY,ImageW,ImageH,Timestamp,ElapsedTime,CalConst,CalImage,AbdArea,AbdDiameter,AbdVolume,AspectRatio,AvgBlue,AvgGreen,AvgRed,BiovolumeCylinder,BiovolumePSpheroid,BiovolumeSphere,Ch1Area,Ch1Peak,Ch1Width,Ch2Area,Ch2Ch1Ratio,Ch2Peak,Ch2Width,Ch3Area,Ch3Peak,Ch3Width,CircleFit,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,EdgeGradient,Elongation,EsdDiameter,EsdVolume,FdDiameter,FeretMaxAngle,FeretMinAngle,FiberCurl,FiberStraightness,FilledArea,FilterScore,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Intensity,Length,Perimeter,Ppc,RatioBlueGreen,RatioRedBlue,RatioRedGreen,Roughness,ScatterArea,ScatterPeak,SigmaIntensity,SphereComplement,SphereCount,SphereUnknown,SphereVolume,SumIntensity,Symmetry,Transparency,Width,Preprocessing,PreprocessingTrue,LabelPredicted,ProbabilityScore,LabelTrue
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,11,,98C28523-0845-4045-933F-4A2A92C1D95A,16,844,976,564,0,27,34,2023-03-14 15:06:23.465000,2.875,1.8293,1,510.5666,25.4965,8678.455,0.6354,95.8464,101.9925,104.0412,,,29410.37139688417,9234.655425817875,0,0,0,0,0,0,,,,0.5731,0.7217,0.7937,1.3856,107.8482,0.9834,104.614,1.7963,30.4375,14764.76,25.4965,-85,0,0.0683,0.9361,510.5666,0,0.5567,40.0621,22.3022,100.3858,37.5007,124.7286,1,,,,1.1565,0,0,32.7984,0,0,0,0,26803,0.4221,0.1623,22.8663,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,12,,A3C3F873-E29F-41BF-96FD-6EDA46848A88,16,915,202,593,0,25,28,2023-03-14 15:06:23.465000,2.875,1.8293,1,349.8378,21.1051,4922.252,0.8504,124.9554,133.6782,137.3812,,,29708.29371838655,8395.570894580344,0,0,0,0,0,0,,,,0.884,0.8998,0.9827,1.1113,82.7207,1.0,36.4773,1.0,22.4597,5932.158,21.1051,-80,0,0.0,1.092,349.8378,0,1.0,24.2898,24.2898,131.5,26.5249,97.1591,1,,,,1.1745,0,0,14.973,0,0,0,0,26563,0.871,0.0603,19.2077,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,13,,F70FA3B1-3F05-4730-B9C3-E9F88A49CA78,17,691,600,620,0,93,83,2023-03-14 15:06:23.632000,3.047,1.8293,1,3533.4503,67.0741,158001.9,0.8415,121.4147,131.0225,135.3922,,,36675.903294666656,27458.09581226649,0,0,0,0,0,0,,,,0.0887,0.0558,0.3895,17.9172,425.5623,0.3261,52.189,54.2701,131.5572,1192181.0,67.2154,0,25,2.5198,0.2841,3548.3547,0,0.0184,492.5708,9.0763,128.6221,139.9415,1003.2941,3,,,,2.3576,0,0,17.0192,0,0,0,0,171196,0.2298,0.4902,123.4778,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,14,,070FB802-FBD4-45A8-B958-D4BD63D13509,17,620,157,715,0,31,44,2023-03-14 15:06:23.632000,3.047,1.8293,1,316.3706,20.0703,4233.095,0.1389,116.4947,121.5266,126.1064,,,45467.43874071505,14448.321541391511,0,0,0,0,0,0,,,,0.1309,0.3277,0.2585,3.0519,137.4101,1.0,117.2,7.4536,39.8889,33231.88,20.0703,-55,30,0.1174,0.8949,316.3706,0,0.1342,68.4773,9.1872,120.516,61.2815,155.3289,1,,,,1.1304,0,0,19.6045,0,0,0,0,22657,0.8264,0.4968,6.4025,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,15,,7E820A8C-86A1-4C36-A34C-0C6F224E99BB,17,905,55,748,0,51,39,2023-03-14 15:06:23.632000,3.047,1.8293,1,874.0352,33.3595,19438.25,0.3072,136.6084,142.8818,146.3719,,,25765.112788698636,12014.982057801672,0,0,0,0,0,0,,,,0.1955,0.3125,0.436,3.2004,178.3096,0.8,35.8952,7.9282,53.0497,78171.32,33.3595,15,-60,0.4736,0.6786,874.0352,0,0.1261,103.7849,13.0907,141.4039,70.428,233.7511,1,,,,1.3109,0,0,11.7948,0,0,0,0,57410,0.2564,0.3712,19.2077,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,16,,E0D31FC6-B06B-4137-B747-E03F92B6F09C,18,386,1698,801,0,79,77,2023-03-14 15:06:23.797000,3.219,1.8293,1,1746.4027,47.1549,54901.02,0.7606,118.7931,123.6819,127.4389,,,33649.00527807055,17398.58144592689,0,0,0,0,0,0,,,,0.0,0.1036,0.2666,9.6555,359.8335,0.2899,100.2227,28.2982,110.5202,706844.2,47.3469,70,-60,1.122,0.4713,1760.6519,0,0.0353,262.0195,9.2592,122.6375,123.4778,542.5574,1,,,,1.5078,0,0,20.0275,0,0,0,0,88299,0.185,0.5733,77.7452,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,17,,702B1076-EC7F-44AC-8388-C6595A500F1A,20,825,232,882,0,67,53,2023-03-14 15:06:24.131000,3.547,1.8293,1,1020.0887,36.0391,24508.72,0.6316,105.387,105.2457,108.2543,,,23732.655451740313,13234.083197712067,0,0,0,0,0,0,,,,0.0411,0.0785,0.2508,12.735,275.8551,0.3066,191.5066,37.9818,83.8937,309162.7,36.0391,-20,75,1.2215,0.4501,1020.0887,0,0.0263,241.7975,6.3661,105.6239,108.8434,496.3272,1,,,,1.7992,0,0,26.8926,0,0,0,0,48587,0.2279,0.5704,57.6229,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,18,,44B083B7-C987-47CA-B8D6-9F5EA990BD64,21,586,1891,951,0,26,29,2023-03-14 15:06:24.297000,3.719,1.8293,1,352.2463,21.1777,4973.172,0.4427,132.6601,141.0197,144.0788,,,34581.4516915327,9509.706544980138,0,0,0,0,0,0,,,,0.5298,0.5568,0.7035,1.7959,98.3759,1.0,35.7018,3.3429,27.6936,11120.78,21.3942,60,-30,0.2205,0.8193,359.4857,0,0.2991,48.0042,14.3601,138.803,39.3299,124.7286,1,,,,1.2679,0,0,7.7058,0,0,0,0,28177,0.6407,0.2353,13.7197,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,19,,4BA2E778-A652-4D36-9E00-084B989A4D52,21,232,1604,979,0,54,81,2023-03-14 15:06:24.297000,3.719,1.8293,1,1201.2561,39.1087,31319.67,0.5244,117.6141,117.4791,121.8232,,,25855.45340659331,14269.388392526535,0,0,0,0,0,0,,,,0.0,0.0795,0.2103,12.5823,330.3306,0.2746,131.328,37.5018,101.3737,545474.7,39.1986,-85,5,1.0847,0.4797,1206.7861,0,0.0267,257.4114,6.864,117.9981,123.4778,528.5508,1,,,,1.6001,0,0,20.4626,0,0,0,0,62067,0.1108,0.6142,68.5987,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,20,,1B0E656C-CD2A-4D5A-95B6-B501EB83BE0A,21,227,1170,1035,0,82,83,2023-03-14 15:06:24.297000,3.719,1.8293,1,2301.9499,54.1381,83082.13,0.8925,108.3187,108.1501,114.2574,,,47048.89014503512,24103.562836178302,0,0,0,0,0,0,,,,0.0078,0.0485,0.3085,20.6099,402.6836,0.2583,168.7039,62.7319,124.1891,1002881.0,54.9188,-70,-25,2.389,0.2951,2368.8206,0,0.0159,443.2686,7.0661,108.9091,130.795,900.6694,1,,,,2.2367,0,0,26.3842,0,0,0,0,99434,0.1676,0.5641,105.1847,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,21,,DD743301-0532-4D6C-B5DB-CBB09F9CBAE2,22,733,565,1119,0,54,75,2023-03-14 15:06:24.465000,3.875,1.8293,1,1110.34,37.5996,27832.21,0.624,118.0507,126.7606,132.073,,,23725.86023944592,13303.963574046866,0,0,0,0,0,0,,,,0.0,0.0856,0.2616,11.6792,292.1965,0.3137,78.87,34.6624,89.28,372615.8,37.7388,-75,10,1.0979,0.4767,1118.5786,0,0.0288,239.8583,6.9199,124.7647,114.3312,493.5564,4,,,,1.6891,0,0,19.5992,0,0,0,0,61509,0.1515,0.5789,59.4522,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,22,,814A9B6F-AF11-4BE1-918A-DCAB51EAC1DC,23,903,1754,0,87,92,90,2023-03-14 15:06:24.631000,4.047,1.8293,1,3447.0729,66.2491,152243.8,0.8562,127.9662,136.3909,139.5376,,,79562.62102676484,34225.47728259214,0,0,0,0,0,0,,,,0.0,0.0657,0.3494,15.2203,446.7007,0.2919,42.3016,45.7942,138.2646,1383986.0,66.4206,65,30,2.0403,0.3289,3464.9344,0,0.0218,447.7073,9.7765,134.2273,147.2586,914.9677,2,,,,2.0483,0,0,14.9168,0,0,0,0,174764,0.2247,0.5209,123.4778,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,23,,41706323-8C8B-4F0B-A910-E9A60D2112E1,23,878,1429,94,87,26,27,2023-03-14 15:06:24.631000,4.047,1.8293,1,357.0703,21.3222,5075.681,0.9185,121.7024,126.7707,129.5073,,,7857.110113908116,3468.1407766092934,0,0,0,0,0,0,,,,0.932,1.0,0.9969,1.0,83.6711,1.0,69.1591,1.0,22.8154,6218.49,21.964,-80,0,0.0,1.0494,378.8887,0,1.0,23.532,23.532,125.5707,24.6955,94.1282,1,,,,1.125,0,0,14.996,0,0,0,0,25742,0.902,0.0654,21.0369,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,24,,6951DFEC-93AF-4478-B361-F9F4F6CA6383,23,527,1106,122,87,21,61,2023-03-14 15:06:24.631000,4.047,1.8293,1,398.4283,22.5232,5982.588,0.1145,110.8604,111.8829,117.6757,,,9432.525583315446,5635.557017424071,0,0,0,0,0,0,,,,0.0,0.2001,0.1799,4.9982,184.4002,0.8207,142.4615,13.6289,54.8282,86299.89,22.5232,-90,-5,0.1829,0.8454,398.4283,0,0.0734,100.6219,7.383,112.2613,85.0624,216.0097,1,,,,1.1714,0,0,25.2161,0,0,0,0,24922,0.3885,0.5892,8.2318,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,25,,F16FE41F-2AE5-42E2-998B-FA32A3126EA9,23,408,376,145,87,34,24,2023-03-14 15:06:24.631000,4.047,1.8293,1,337.8304,20.7398,4671.021,0.485,98.1371,105.2741,110.934,,,10796.137460157825,4665.198800992141,0,0,0,0,0,0,,,,0.5621,0.5753,0.7291,1.7382,96.4873,0.9471,143.8704,3.1426,26.9314,10227.6,20.7398,0,-85,0.276,0.7837,337.8304,0,0.3182,45.5156,14.4836,103.8274,35.6713,119.9984,1,,,,1.2437,0,0,22.3177,0,0,0,0,20454,0.5907,0.2299,15.549,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,26,,08C4D0FA-F869-4B27-B2FC-5C13E5180D1A,24,840,1488,181,87,25,31,2023-03-14 15:06:24.800000,4.219,1.8293,1,359.4857,21.3942,5127.27,0.7391,125.0194,131.9466,133.4515,,,8725.459102572804,3915.66488505624,0,0,0,0,0,0,,,,0.8187,0.9247,0.9548,1.0814,91.5756,1.0,49.9592,1.0,25.0512,8231.646,23.6122,-90,0,0.0,1.1605,437.8882,0,1.0,26.0081,26.0081,130.0728,30.1835,104.0324,1,,,,1.136,0,0,12.7371,0,0,0,0,26795,0.8572,0.146,19.2077,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,27,,D6E4BC4C-E6CC-44FE-98B9-A3205A194680,24,871,1482,208,87,60,90,2023-03-14 15:06:24.800000,4.219,1.8293,1,2154.1352,52.3711,75209.59,0.5432,130.7494,139.174,143.2471,,,29448.08135249605,20848.419135767297,0,0,0,0,0,0,,,,0.0047,0.0735,0.3056,13.6019,366.6747,0.3372,31.0273,40.7072,113.0101,755701.5,52.3711,-85,-10,1.5144,0.3977,2154.1352,0,0.0246,342.6685,8.4179,137.0998,136.2828,702.1727,5,,,,1.915,0,0,14.7609,0,0,0,0,118180,0.1799,0.5366,77.7452,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,28,,9C3D867D-230B-4B9E-8CD9-BA2A44443E68,25,294,1454,270,87,45,32,2023-03-14 15:06:24.965000,4.375,1.8293,1,618.063,28.0525,11558.8,0.6718,112.3204,117.3981,121.6796,,,29008.412709142864,8441.126669877174,0,0,0,0,0,0,,,,0.4154,0.3547,0.6923,2.8192,152.3843,0.6688,81.5402,6.7078,44.9703,47618.5,28.4031,5,-90,0.4593,0.6853,633.6078,0,0.1491,84.0876,12.5357,116.3366,57.6229,193.2465,2,,,,1.2682,0,0,23.3354,0,0,0,0,35948,0.3773,0.3762,32.0127,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:24,Dag_20230314_1m_4x-01_000001.tif,,29,,58D6E4C0-746D-467D-92EE-221D6F149EAC,25,364,1262,317,87,89,89,2023-03-14 15:06:24.965000,4.375,1.8293,1,2526.2982,56.7149,95519.21,0.9502,106.1384,108.1677,114.4283,,,49969.646536188055,28390.69805144014,0,0,0,0,0,0,,,,0.0,0.0333,0.2894,30.0353,431.6356,0.23,175.5038,92.3478,133.9454,1258294.0,56.9114,-60,55,2.9644,0.2522,2543.8352,0,0.0108,554.789,6.0076,108.2657,139.9415,1121.5932,1,,,,2.5985,0,0,25.2568,0,0,0,0,107183,0.3457,0.5766,123.4778,object,,,,
